iter	Passed	Remaining
968	30302	2407
969	30332	2376
970	30364	2345
971	30393	2313
972	30424	2282
973	30454	2251
974	30491	2220
975	30526	2189
976	30561	2158
977	30593	2127
978	30625	2095
979	30655	2064
980	30687	2033
981	30718	2001
982	30754	1971
983	30789	1939
984	30824	1908
985	30858	1877
986	30892	1846
987	30923	1815
988	30956	1784
989	30994	1753
990	31025	1721
991	31057	1690
992	31090	1659
993	31122	1628
994	31156	1596
995	31187	1565
996	31220	1534
997	31251	1503
998	31282	1471
999	31313	1440
1000	31343	1409
1001	31378	1377
1002	31412	1346
1003	31446	1315
1004	31481	1284
1005	31514	1253
1006	31543	1221
1007	31575	1190
1008	31606	1158
1009	31637	1127
1010	31670	1096
1011	31708	1065
1012	31739	1033
1013	31774	1002
1014	31802	971
1015	31832	939
1016	31863	908
1017	31893	877
1018	31922	845
1019	31957	814
1020	31994	783
1021	32027	752
1022	32045	720
1023	32076	689
1024	32106	657
1025	32144	626
1026	32183	595
1027	32215	564
1028	32246	532
1029	32282	501
1030	32312	470
1031	32348	438
1032	32385	407
1033	32420	376
1034	32450	344
1035	32482	313
1036	32512	282
1037	32542	250
1038	32572	219
1039	32609	188
1040	32641	156
1041	32673	125
1042	32702	94
1043	32733	62
1044	32767	31
1045	32796	0
